Variable	Description	Units	Method / Notes	Appears in
Cb	Cladonia borealis	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Cr	Cladonia rangiferina	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Csp	Cladonia sp.	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Cu	Cladonia uncialis	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Cp	Cladonia pyxidata	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Cv	Cladonia verticillata	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Dc	Diploschistes scruposus	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Lsp	Lobaria sp.	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Na	Nephroma arcticum	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Nsp	Nephroma sp.	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Of	Ochrolechia frigida	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
Psp	Peltigera sp.	-	"species recorded during vegetation surveys of 28 permanent 1 m² plots at the browning site, Latnjajaure, Sweden (68°20?N, 18°29?E), July 2020."	
